No.,Texto
211,"Estas son las acciones del ejército en el día de ayer: - Cúcuta, Norte de Santander. Ubicación y destrucción laboratorio de clorhidrato de cocaina en la vereda la Pedregosa perteneciente al Frente Urbano Reinaldo Ardila Gómez del ELN. Se incautó y destruyó el siguiente material:

* 1.212 kg. de clorhidrato de cocaina. 
* ⁠1.193 gl. de insumos líquidos. 
* ⁠485 kg. de insumos sólidos.

- Argelia, Cauca. Ubicación de depósito ilegal de explosivos en el casco urbano del corregimiento de El Plateado perteneciente a la Estructura Carlos Patiño del GAOr Bloque Jacobo Arenas.  Material incautado y destruido:
  
* 170 Artefactos Explosivos Improvisados usadas como munición para  drone.  
* 2 Medios de lanzamiento tipo rampla
* 26 Minas Antipersona  
* 65 Artefactos Explosivos Improvisados por cable mando 
* 70 Detonadores
* 15 Artefactos Explosivos Improvisados tipo granada de 81 mm. 
* 800 metros cable duplex 
* 500 metros de cordón detonante
* 80 tarros de  polvora
* 12  barras de indugel 
* 48 Artefactos Explosivos Improvisados con sistema de activación de cable mando 
* 1 Artefacto Explosivos Improvisados para sistema de alarma vehicular.
* 2 Artefactos Explosivos Improvisados de alivio de tensión.

- Valle del Guamuez, Putumayo. Se ubica y destruye 01 laboratorio para el procesamiento de clorhidrato de cocaína perteneciente al GAO-r E48 Comandos de Frontera. Se destruyó siguiente material: 

* 650 kg. de clorhidrato de cocaina. 
* 1.057 gl. de clorhidrato de cocaina en proceso."
212,"La orden de tomar el Plateado es mía. Consideré que era fundamental, dada la negativa del EMC de conciliar un proceso de sustitucion de cultivos ilícitos y liberación de las poblaciones del cañón del Micay. Mi tesis de seguridad es que se debe golpear las economías ilícitas y al…"
213,"Ese par como usted las llama, son las responsables de la sustitución de cultivos ilícitos en el territorio, saben mucho más que usted, Daniel, de seguridad y transformación del territorio para lograrla. De ellas dependerá un cañón del Micay diferente, lleno de cultura,…"
214,"Agradezco el trabajo de las Fuerzas Militares y la Policía por facilitar la visita de seis ministros y varios directores de entidades a El Plateado, en Argelia - Cauca. El Gobierno hace presencia para llevar salud, educación, conectividad y servicios básicos. Un paso más para transformar el Cauca en un territorio de paz."
215,"Si no se transforma el territorio excluido en función de su pueblo, no hay paz. El Micay dará el ejemplo."
216,"La seguridad de la COP 16 está garantizada. Mordisco no es el jefe de las fuerzas del EMC del Cauca. Le interesan los negocios de Coltán, oro ilícito y la detruccion de la selva para entregarle la tierra que despejan los campesinos de selva, a los narcoterratenientes. Iván no…"
217,"Le solicito que deje de amplificar la voz de los traquetos. Las comunidades se reunirán conmigo. Si las fuerza armadas de los traquetos no hacen la paz, serán destruidas."
218,"El EMC al bombardear población civil nos obliga, por el principio de proporcionalidad, a bombardear sus fuerzas. Les envío un mensaje: venzan la codicia y hagan la paz en favor del pueblo colombiano"
219,"Hubiera querido estar aquí. Pero razones de seguridad me lo impiden. Es el pueblo afro de Colombia que va por la tierra en el norte del Cauca y va por su emancipación definitiva. He solicitado un pacto con indígenas campesinos y comunidades afro, y los ingenios agroindustriales…"
220,"Por orden del presidente de la república y después de más de 5 años de dominio sobre el Plateado del EM, que convirtió la región en una bolsa internacional de la cocaína, entra el ejército de la Patria, de Bolívar, Nariño y Santander al plateado. Hoy el Plateado es Colombia. A… https://t.co/xJxC2ozPHZ"
221,"En este año hasta el 8 de octubre y respecto al mismo periodo del año pasado, según datos de la policía nacional: Bajó el homicidio un 3%, el secuestro un 30%, el atraco un 29%, la riña un 6%, el hurto a persona un 17%, los ataques de bandas multicrimen un 25%, el hurto a…"
222,"Este es uno de los principales triunfos diplomáticos de Colombia en el mundo: con 175 votos de gobiernos del mundo que sacamos por su confianza en nuestro gobierno, vamos a ser parte del Consejo de derechos Humanos de las Naciones Unidas"
223,"Esto no puede ocurrir en nuestro país. He ordenado activar de inmediato las rutas de seguridad para este caso, así como para otros seis periodistas que, junto con la FLIP, hemos identificado como de alto riesgo."
224,"Para que Colombia sea elegida como miembro pleno de la Comisión de Derechos Humanos, se necesita que hubiese un cambio real en la actitud del gobierno sobre los derechos humanos: su cabal respeto. Este es un logro de este gobierno y por eso nos persiguen: las fuerzas…"
225,Vamos a ser miembros del Consejo de Derechos Humanos de Naciones Unidas.
226,"En interdicción marítima y haciendo uso de inteligencia de la armada nacional fueron capturados 12 sujetos en alta mar con 4,3 toneladas de cocaína."
227,"Perdón a los niños, mujeres adoloridas y madres a los campesinos asesinados y desaparecidos en la vereda "" La Esperanza"" en Carmen de Viboral, Antioquia, bajo la gobernanza paramilitar en 1996. Cumplo la sentencia de la Corte Interamericana de Derechos Humanos.…"
228,Todas las organizaciones populares del pais deben entrar en asamblea permanente. La hora de la movilización generalizada del pueblo colombiano ha llegado. El presidente constitucional de Colombia elegido por el voto popular ordena a la fuerza pública no levantar un solo arma…
229,En dos operativos se han incautado casi 4 toneladas de cocaína
230,Mi alocución es conforme a la ley de seguridad. Al presidente no se le puede acorralar en sus decisiones legales y constitucionales. No hay un discurso oficial que prescribir contra la personalidad libre del ser humano. El presidente habla y actua con libertad porque los seres…
231,No les molestaba cuando Mancuso masacraba campesinos y les quitaba las tierras. Pero ahora si les molesta que Mancuso pida perdón a las víctims y les devuelva las tierras que les quitaron. En Colombia hay adictos a la sangre y tenemos que llenarla de adictas y adictos a la paz.
232,"Se incauta 1,6 toneladas de cocaína en el Pacífico por parte de la Fuerza Naval. Se detienen 7 integrantes del clan del golfo en el Caribe y se incauta la fábrica del Clan para hacer lanchas rápidas, se decomisan 7 lanchas y 16 motores fuera de borda en colaboración de la armada…"
233,El Clan del golfo es el intrumento de políticos que buscaron quedarse con los bienes del paramilitarismo y las rutas de narcotráfico.
234,"Han sido rescatadas en un operativo de equipos especializados las seis jóvenes de Medellín, que habían desaparecido en el puerto de Veracruz, México."
235,Le he solicitado al gobierno mexicano el mayor apoyo para encontrar a las seis jóvenes colombianas desaparecidas en este país.
236,"La protesta social no se trata como un crímen. Criminales fueron los que la consideraron así. Condenaron a la cárcel a miles de jóvenes, a la tortura, a la pérdida de sus ojos, a ser vigilados ilegalmente con ""pegasus"" a la violacion de sus jóvenes, a la muerte. El tratamiento…"
237,"La prensa se invento una ""FakeNews"" para debilitar la política de paz del gobierno. Hasta engañó al alcalde de Bucaramanga que salió a repetir la calumnia. Alias el ""Pichi"" no es gestor de paz ni salió por esa razón de la cárcel"
238,"Ha recibido un durísimo golpe la estrategia de refundar un nuevo paramilitarismo bajo el nombre del clan del golfo. Ha caído en combate su jefe, Juan Carlos Agudelo, alias Zeus, quien junto al hijo de Ramón Isaza trataba de conformar un bloque de 200 hombres en el Magdalena…"
239,"La calentura no está en las sábanas. Los fracasos de muchos jóvenes en sus vidas y barrios hacen que vean en el fútbol su espacio y lo defienden con violencia. Una política de paz en el Valle de Aburra, en cierta forma inédita, debe comenzar"
240,He decidido aplazar mi viaje a México para el día de mañana por el accidente del helicóptero de la Fuerza Aérea. Quiero acompañar a las familias en su dolor y seguir la investigación personalmente para determinar las causas del suceso.
241,"Lamento informar el fallecimiento de 8 miembros de la @FuerzaAereaCol quienes se desplazaban en una misión humanitaria en el departamento del Vichada, su helicóptero se precipitó a tierra. Un abrazo de solidaridad a sus familias en medio de esta noticia que enluta al país."
242,la Policía Nacional captura a miembros del clan del golfo que asesinaron al líder campesino Narciso Beleño en el sur de Bolívar.
243,"Se oponían a extender.el programa ""jóvenes en paz"" en el país. Hasta tutelas pusieron en su contra. Una juventud sin oportunidades puede caer en la violencia. Nosotros creemos que es el arte, el estudio, el deporte, el pensar crítico el objetivo de muestra juventud. En Colombia…"
244,"Me comuniqué con el presidente de España , Pedro Sanchez, para lograr que Diego Marín, alias pitufo, sea traído a la justicia colombiana. El gran contrabando ha sido la bisagra entre grandes poderes políticos y estatales y el narcotráfico, durante décadas, arruinando la…"
245,¿Qué tiene la extrema derecha contra la juventud en Colombia?
246,Los asesinos de Narciso Beleño deben ser descubiertos. Un campesino que impulsaba la reforma agraria en el sur de Bolívar.  Un campesinado que tenga tierra es el cimiento más fuerte de la Paz en Colombia.
247,"Le solicito muy especialmente a @FiscaliaCol la investigación del asesinato de Manuel José Bermúdez en Antioquia. Colombia debe ser un país de la Libertad.  La libertad no solo es poder entrar a un supermercado sino poder comprar en él.  La libertad no solo es poder comprar, sino poder vivir, poder vivir como se quiera, como a uno se le da la gana, con el amor como divisa y como bandera."
248,En lo que va del año la fuerza pública nacional ha logrado incautar 186 toneladas de cocaína han sido destruidas 90 dragas y dragones de la minería ilegal y decomisado 262 fusiles a las organizaciones armadas ilegales.
249,"Capturados 21 integrantes de la banda ""La Inmaculada"" en Tuluá, Valle del cauca."
250,Esta es la gran realidad del origen estructural del conflicto. Un estado  que no está en los territorios de Colombia por concentrar su inversión pública apenas en dos o tres regiones.  La democratización de la inversión pública nacional es fundamental para la Paz.
251,"Al momento ae han incautado 180 toneldas de cocaína, se han destruido 90 dragas y se han recuperado 260 fusiles en la acción de la fuerza pública contra las economías ilícitas y los grupos armados ilegales."
252,"Sin desmedro del dialogo regional para construir un Nariño en paz que ya ha iniciado, mi gobierno mantiene como escenario dd dialogos de paz con el ELN la mesa nacional instaurada.  Es importante que esa mesa tenga integrantes de los diferentes frentes regionales del ELN para pasar del dialogo a la negociación definitiva."
253,Claro que una policía al servicio de la ciudadanía merece reconocimiento.
254,La reacción de los frentes caucanos del EMC es porque el gobierno bloquea la salida de cocaína en el pacífico. No más financiación de la guerra y la muerte.
255,"Caminos comunitarios hechos con la acción comunal en la Paz, Cesar"
256,Cae una tonelada mas de cocaína en la Guajira.
257,"Otra tonelada de Cocaína cae, esta vez en la Guajira."
